LOX HEIGHT RP1HEIGHT DIAMETER NumEngins
17 23 1 28
Altitude Velocity timestep currentLox currentRP1
25.0709 167.14 0.1 7616.96 609.105
66.8411 334.181 0.2 7320.16 494.305
125.271 500.929 0.3 7023.36 379.505
200.305 667.197 0.4 6726.56 264.706
291.865 832.805 0.5 6429.76 149.906
399.863 997.587 0.6 6132.96 35.1055
498.974 993.27 0.7 5836.16 -79.6945
597.665 989.025 0.8 5836.16 -79.6945
695.941 984.85 0.9 5836.16 -79.6945
793.81 980.742 1 5836.16 -79.6945
891.278 976.7 1.1 5836.16 -79.6945
988.351 972.721 1.2 5836.16 -79.6945
1085.04 968.805 1.3 5836.16 -79.6945
1181.34 964.949 1.4 5836.16 -79.6945
1277.26 961.151 1.5 5836.16 -79.6945
1372.82 957.411 1.6 5836.16 -79.6945
1468.01 953.726 1.7 5836.16 -79.6945
1562.83 950.096 1.8 5836.16 -79.6945
1657.31 946.518 1.9 5836.16 -79.6945
1751.43 942.991 2 5836.16 -79.6945
1845.21 939.514 2.1 5836.16 -79.6945
1938.64 936.086 2.2 5836.16 -79.6945
2031.75 932.705 2.3 5836.16 -79.6945
2124.52 929.371 2.4 5836.16 -79.6945
2216.96 926.082 2.5 5836.16 -79.6945
2309.08 922.836 2.6 5836.16 -79.6945
2400.88 919.634 2.7 5836.16 -79.6945
2492.37 916.473 2.8 5836.16 -79.6945
2583.55 913.354 2.9 5836.16 -79.6945
2674.43 910.273 3 5836.16 -79.6945
2765 907.232 3.1 5836.16 -79.6945
2855.27 904.229 3.2 5836.16 -79.6945
2945.25 901.263 3.3 5836.16 -79.6945
3034.93 898.333 3.4 5836.16 -79.6945
3124.33 895.438 3.5 5836.16 -79.6945
3213.45 892.578 3.6 5836.16 -79.6945
3302.28 889.752 3.7 5836.16 -79.6945
3390.84 886.958 3.8 5836.16 -79.6945
3479.12 884.197 3.9 5836.16 -79.6945
3567.13 881.467 4 5836.16 -79.6945
3654.87 878.768 4.1 5836.16 -79.6945
3742.35 876.099 4.2 5836.16 -79.6945
3829.56 873.459 4.3 5836.16 -79.6945
3916.52 870.848 4.4 5836.16 -79.6945
4003.21 868.265 4.5 5836.16 -79.6945
4089.66 865.71 4.6 5836.16 -79.6945
4175.85 863.182 4.7 5836.16 -79.6945
4261.79 860.68 4.8 5836.16 -79.6945
4347.49 858.203 4.9 5836.16 -79.6945
4432.94 855.752 5 5836.16 -79.6945
4518.15 853.326 5.1 5836.16 -79.6945
4603.12 850.924 5.2 5836.16 -79.6945
4687.86 848.545 5.3 5836.16 -79.6945
4772.36 846.19 5.4 5836.16 -79.6945
4856.63 843.857 5.5 5836.16 -79.6945
4940.67 841.547 5.6 5836.16 -79.6945
5024.48 839.258 5.7 5836.16 -79.6945
5108.07 836.991 5.8 5836.16 -79.6945
5191.43 834.745 5.9 5836.16 -79.6945
5274.57 832.519 6 5836.16 -79.6945
5357.49 830.313 6.1 5836.16 -79.6945
5440.19 828.127 6.2 5836.16 -79.6945
5522.68 825.96 6.3 5836.16 -79.6945
5604.95 823.812 6.4 5836.16 -79.6945
5687.02 821.683 6.5 5836.16 -79.6945
5768.87 819.571 6.6 5836.16 -79.6945
5850.51 817.478 6.7 5836.16 -79.6945
5931.95 815.402 6.8 5836.16 -79.6945
6013.18 813.343 6.9 5836.16 -79.6945
6094.21 811.301 7 5836.16 -79.6945
6175.03 809.276 7.1 5836.16 -79.6945
6255.66 807.266 7.2 5836.16 -79.6945
6336.09 805.273 7.3 5836.16 -79.6945
6416.32 803.295 7.4 5836.16 -79.6945
6496.35 801.332 7.5 5836.16 -79.6945
6576.19 799.385 7.6 5836.16 -79.6945
6655.84 797.452 7.7 5836.16 -79.6945
6735.3 795.534 7.79999 5836.16 -79.6945
6814.57 793.629 7.89999 5836.16 -79.6945
6893.65 791.739 7.99999 5836.16 -79.6945
6972.54 789.863 8.09999 5836.16 -79.6945
7051.25 787.999 8.2 5836.16 -79.6945
7129.77 786.149 8.3 5836.16 -79.6945
7208.11 784.312 8.4 5836.16 -79.6945
7286.27 782.488 8.5 5836.16 -79.6945
7364.24 780.676 8.6 5836.16 -79.6945
7442.04 778.877 8.7 5836.16 -79.6945
7519.66 777.089 8.8 5836.16 -79.6945
7597.1 775.313 8.9 5836.16 -79.6945
7674.37 773.549 9 5836.16 -79.6945
7751.46 771.797 9.1 5836.16 -79.6945
7828.38 770.055 9.2 5836.16 -79.6945
7905.13 768.325 9.3 5836.16 -79.6945
7981.7 766.605 9.4 5836.16 -79.6945
8058.1 764.897 9.5 5836.16 -79.6945
8134.34 763.198 9.6 5836.16 -79.6945
8210.41 761.51 9.7 5836.16 -79.6945
8286.31 759.832 9.8 5836.16 -79.6945
8362.04 758.164 9.9 5836.16 -79.6945
8437.61 756.506 10 5836.16 -79.6945
8513.01 754.857 10.1 5836.16 -79.6945
8588.25 753.218 10.2 5836.16 -79.6945
8663.33 751.588 10.3 5836.16 -79.6945
8738.24 749.967 10.4 5836.16 -79.6945
8813 748.356 10.5 5836.16 -79.6945
8887.59 746.753 10.6 5836.16 -79.6945
8962.03 745.159 10.7 5836.16 -79.6945
9036.31 743.573 10.8 5836.16 -79.6945
9110.43 741.996 10.9 5836.16 -79.6945
9184.39 740.427 11 5836.16 -79.6945
9258.2 738.866 11.1 5836.16 -79.6945
9331.85 737.313 11.2 5836.16 -79.6945
9405.35 735.768 11.3 5836.16 -79.6945
9478.7 734.231 11.4 5836.16 -79.6945
9551.89 732.702 11.5 5836.16 -79.6945
9624.94 731.18 11.6 5836.16 -79.6945
9697.83 729.665 11.7 5836.16 -79.6945
9770.57 728.157 11.8 5836.16 -79.6945
9843.16 726.657 11.9 5836.16 -79.6945
9915.6 725.164 12 5836.16 -79.6945
9987.89 723.678 12.1 5836.16 -79.6945
10060 722.198 12.2 5836.16 -79.6945
10132 720.726 12.3 5836.16 -79.6945
10203.9 719.26 12.4 5836.16 -79.6945
10275.6 717.8 12.5 5836.16 -79.6945
10347.2 716.347 12.6 5836.16 -79.6945
10418.6 714.9 12.7 5836.16 -79.6945
10489.9 713.459 12.8 5836.16 -79.6945
10561 712.025 12.9 5836.16 -79.6945
10632 710.596 13 5836.16 -79.6945
10702.8 709.173 13.1 5836.16 -79.6945
10773.5 707.757 13.2 5836.16 -79.6945
10844.1 706.346 13.3 5836.16 -79.6945
10914.5 704.94 13.4 5836.16 -79.6945
10984.8 703.541 13.5 5836.16 -79.6945
11054.9 702.146 13.6 5836.16 -79.6945
11124.9 700.757 13.7 5836.16 -79.6945
11194.8 699.374 13.8 5836.16 -79.6945
11264.5 697.996 13.9 5836.16 -79.6945
11334.1 696.622 14 5836.16 -79.6945
11403.6 695.254 14.1 5836.16 -79.6945
11472.9 693.891 14.2 5836.16 -79.6945
11542.1 692.533 14.3 5836.16 -79.6945
11611.2 691.18 14.4 5836.16 -79.6945
11680.1 689.832 14.5 5836.16 -79.6945
11748.8 688.488 14.6 5836.16 -79.6945
11817.5 687.149 14.7 5836.16 -79.6945
11886 685.815 14.8 5836.16 -79.6945
11954.4 684.485 14.9 5836.16 -79.6945
12022.6 683.159 15 5836.16 -79.6945
12090.8 681.838 15.1 5836.16 -79.6945
12158.7 680.522 15.2 5836.16 -79.6945
12226.6 679.209 15.3 5836.16 -79.6945
12294.3 677.901 15.4 5836.16 -79.6945
12361.9 676.597 15.5 5836.16 -79.6945
12429.4 675.297 15.6 5836.16 -79.6945
12496.7 674.001 15.7 5836.16 -79.6945
12563.9 672.709 15.8 5836.16 -79.6945
12631 671.421 15.9 5836.16 -79.6945
12698 670.137 16 5836.16 -79.6945
12764.8 668.856 16.1 5836.16 -79.6945
12831.5 667.58 16.2 5836.16 -79.6945
12898 666.307 16.3 5836.16 -79.6945
12964.5 665.037 16.4 5836.16 -79.6945
13030.8 663.771 16.5 5836.16 -79.6945
13097 662.509 16.6 5836.16 -79.6945
13163 661.25 16.7 5836.16 -79.6945
13229 659.995 16.8 5836.16 -79.6945
13294.8 658.743 16.9 5836.16 -79.6945
13360.5 657.495 17 5836.16 -79.6945
13426 656.25 17.1 5836.16 -79.6945
13491.5 655.008 17.2 5836.16 -79.6945
13556.8 653.769 17.3 5836.16 -79.6945
13622 652.533 17.4 5836.16 -79.6945
13687.1 651.301 17.5 5836.16 -79.6945
13752 650.071 17.6 5836.16 -79.6945
13816.8 648.845 17.7 5836.16 -79.6945
13881.5 647.622 17.8 5836.16 -79.6945
